1697622945075,68,01 juradm login page,200,OK,Groupe d'unités 1-1,text,true,39231,1,1,34,1,0,CE75U19135
1697622945144,8,02 GET /Account/Login,200,OK,Groupe d'unités 1-1,text,true,10213,1,1,8,1,0,CE75U19135
1697622948163,58,03 POST /Account/Login,200,OK,Groupe d'unités 1-1,text,true,5012,1,1,45,1,0,CE75U19135
1697622951226,333,04 juradm login form  (js redirect),200,OK,Groupe d'unités 1-1,text,true,26120,1,1,302,1,0,CE75U19135
1697622954575,238,Juradm check home page,200,OK,Groupe d'unités 1-1,text,true,30729,1,1,30,1,0,CE75U19135
1697622954814,9894,Home,200,"Number of samples in transaction : 2, number of failing samples : 0",Groupe d'unités 1-1,,true,206873,1,1,0,1,0,CE75U19135
1697622970764,1181,Préparer envoi requête - 32940 Tribunal administratif de Paris,200,"Number of samples in transaction : 4, number of failing samples : 0",Groupe d'unités 1-1,,true,347162,1,1,0,1,0,CE75U19135
1697622973775,811,/GestionRequete/ListeRequetes.aspx,200,OK,Groupe d'unités 1-1,text,true,68073,1,1,808,1,0,CE75U19135
1697622974589,7,/status/dashboardStats,200,OK,Groupe d'unités 1-1,text,true,1034,1,1,7,1,0,CE75U19135
1697622977603,317,/GestionRequete/ListeRequetes.aspx,200,OK,Groupe d'unités 1-1,text,true,173188,1,1,86,1,0,CE75U19135
1697622980938,46,/GestionRequete/DeposerRequete2.aspx,200,OK,Groupe d'unités 1-1,text,true,104867,1,1,41,1,0,CE75U19135
1697622980989,214,Ajouter le requérant,200,"Number of samples in transaction : 2, number of failing samples : 0",Groupe d'unités 1-1,,true,58849,1,1,0,1,0,CE75U19135
1697622983990,60,/GestionRequete/DeposerRequete2.aspx,200,OK,Groupe d'unités 1-1,text,true,27189,1,1,59,1,0,CE75U19135
1697622987062,154,/GestionRequete/DeposerRequete2.aspx,200,OK,Groupe d'unités 1-1,text,true,31660,1,1,153,1,0,CE75U19135
1697622987231,558,Ajouter fichier Requête,200,"Number of samples in transaction : 1, number of failing samples : 0",Groupe d'unités 1-1,,true,110513,1,1,0,1,0,CE75U19135
1697622990242,558,/GestionRequete/DeposerRequete2.aspx,200,OK,Groupe d'unités 1-1,text,true,110513,1,1,553,1,0,CE75U19135
1697622990805,3667,Ajouter une pièce,200,"Number of samples in transaction : 2, number of failing samples : 0",Groupe d'unités 1-1,,true,112551,1,1,0,1,0,CE75U19135
1697622993811,3616,/Fichiers/AjaxObjetMetierFileHandler.ashx,200,OK,Groupe d'unités 1-1,,true,224,1,1,3616,1,0,CE75U19135
1697622997428,51,/GestionRequete/DeposerRequete2.aspx,200,OK,Groupe d'unités 1-1,text,true,112327,1,1,46,1,0,CE75U19135
1697622997484,117,Ajouter l'inventaire,200,"Number of samples in transaction : 1, number of failing samples : 0",Groupe d'unités 1-1,,true,113358,1,1,0,1,0,CE75U19135
1697622997485,117,/GestionRequete/DeposerRequete2.aspx,200,OK,Groupe d'unités 1-1,text,true,113358,1,1,111,1,0,CE75U19135
1697622997607,0,Convertir en PDF,,,Groupe d'unités 1-1,,true,0,1,1,0,1,0,CE75U19135
